product_id,fullname,brand,url_part,panel_type,spd_classification,spd_confidence,ground_truth_tech,ground_truth_qd_type,match_status,blue_peak_nm,blue_fwhm_nm,green_peak_nm,green_fwhm_nm,red_peak_nm,red_fwhm_nm,num_peaks,notes,spd_image_local
88487,Dell Alienware AW2725Q,Dell,dell-alienware-aw2725q,OLED,QD-OLED,high,,,NO_GT,452.0,21.6,528.9,27.7,634.3,36.1,9,B:452nm/22nm; G:529nm/28nm; R:634nm/36nm; R:fwhm_via_hwhm_left; panel_sub_type=QD-OLED,spd_images/monitors/dell-alienware-aw2725q_spd.jpg
77245,Dell Alienware AW2725QF,Dell,dell-alienware-aw2725qf,LCD,KSF,medium,,,NO_GT,445.8,15.4,547.2,1.1,630.3,9.0,10,B:446nm/15nm; G:547nm/1nm; R:630nm/9nm; narrow red suggests KSF,spd_images/monitors/dell-alienware-aw2725qf_spd.jpg
96306,Dell Alienware AW3225DM,Dell,dell-alienware-aw3225dm,LCD,KSF,medium,,,NO_GT,445.8,17.7,547.2,1.2,630.4,8.9,10,B:446nm/18nm; G:547nm/1nm; R:630nm/9nm; narrow red suggests KSF,spd_images/monitors/dell-alienware-aw3225dm_spd.jpg
46677,Dell Alienware AW3225QF,Dell,dell-alienware-aw3225qf,OLED,QD-OLED,high,,,NO_GT,445.9,21.9,528.8,30.2,635.2,37.6,9,B:446nm/22nm; G:529nm/30nm; R:635nm/38nm; R:fwhm_via_hwhm_left; panel_sub_type=QD-OLED,spd_images/monitors/dell-alienware-aw3225qf_spd.jpg
94176,Dell Alienware AW3425DW,Dell,dell-alienware-aw3425dw,OLED,QD-OLED,high,,,NO_GT,445.9,20.5,528.8,30.0,635.6,36.7,9,B:446nm/21nm; G:529nm/30nm; R:636nm/37nm; R:fwhm_via_hwhm_left; panel_sub_type=QD-OLED,spd_images/monitors/dell-alienware-aw3425dw_spd.jpg
96004,Dell Alienware AW3425DWM,Dell,dell-alienware-aw3425dwm,LCD,KSF,medium,,,NO_GT,445.8,14.6,547.2,1.2,630.4,9.0,10,B:446nm/15nm; G:547nm/1nm; R:630nm/9nm; narrow red suggests KSF,spd_images/monitors/dell-alienware-aw3425dwm_spd.jpg
126616,Dell S2725DC,Dell,dell-s2725dc,LCD,KSF,medium,,,NO_GT,456.0,21.3,547.2,1.3,630.3,9.1,10,B:456nm/21nm; G:547nm/1nm; R:630nm/9nm; G:fwhm_via_hwhm_right; narrow red suggests KSF,spd_images/monitors/dell-s2725dc_spd.jpg
94439,Dell S2725QC,Dell,dell-s2725qc,LCD,KSF,medium,,,NO_GT,456.0,18.8,547.2,1.3,630.4,9.0,10,B:456nm/19nm; G:547nm/1nm; R:630nm/9nm; narrow red suggests KSF,spd_images/monitors/dell-s2725qc_spd.jpg
96735,Dell S2725QS,Dell,dell-s2725qs,LCD,KSF,medium,,,NO_GT,454.0,19.0,547.2,12.6,630.3,9.7,10,B:454nm/19nm; G:547nm/13nm; R:630nm/10nm; G:fwhm_via_hwhm_right; narrow red suggests KSF,spd_images/monitors/dell-s2725qs_spd.jpg
88588,Dell S3225QC,Dell,dell-s3225qc,OLED,QD-OLED,high,,,NO_GT,449.5,22.0,532.1,30.4,637.1,36.5,4,B:450nm/22nm; G:532nm/30nm; R:637nm/37nm; R:fwhm_via_hwhm_left; panel_sub_type=QD-OLED,spd_images/monitors/dell-s3225qc_spd.jpg
