date,product_id,fullname,change_type,field,old_value,new_value
2026-03-30,117450,Sony BRAVIA 5 98,material_change,qd_material,nan,nan
2026-03-30,56341,Samsung Q60D,material_change,qd_material,nan,nan
2026-03-30,94057,Samsung U8000F,material_change,qd_material,nan,nan
2026-03-30,74024,Panasonic Z95A OLED,material_change,qd_material,nan,nan
2026-03-30,92761,Philips 974 Series OLED,material_change,qd_material,nan,nan
2026-03-30,70375,TCL NXTVISION,material_change,qd_material,nan,nan
2026-03-30,50405,Hisense U7N,material_change,qd_material,nan,nan
2026-03-30,96118,Hisense U65QF,material_change,qd_material,nan,nan
2026-03-30,96964,Samsung Q8F 2025,material_change,qd_material,nan,nan
2026-03-30,55174,LG QNED90T,material_change,qd_material,nan,nan
2026-03-30,98323,LG UA77,material_change,qd_material,nan,nan
2026-03-30,49542,LG G4 OLED,material_change,qd_material,nan,nan
2026-03-30,53323,Sony BRAVIA 3,material_change,qd_material,nan,nan
2026-03-30,63953,Hisense CanvasTV 2024,material_change,qd_material,nan,nan
2026-03-30,96128,Hisense QD6QF,material_change,qd_material,nan,nan
2026-03-30,96104,Hisense U75QG,material_change,qd_material,nan,nan
2026-03-30,57179,Samsung Q80D,material_change,qd_material,nan,nan
2026-03-30,60900,TCL S551G,material_change,qd_material,nan,nan
2026-03-30,88503,Panasonic W70B,material_change,qd_material,nan,nan
2026-03-30,55354,Samsung DU8000,material_change,qd_material,nan,nan
2026-03-30,57180,Samsung DU7200,material_change,qd_material,nan,nan
2026-03-30,50404,Hisense U6N,material_change,qd_material,nan,nan
2026-03-30,94324,Samsung Q7F 2025,material_change,qd_material,nan,nan
2026-03-30,92245,Sony BRAVIA 2 II,material_change,qd_material,nan,nan
2026-03-30,100489,TCL QM5K,material_change,qd_material,nan,nan
