product_id,fullname,brand,url_part,panel_type,spd_classification,spd_confidence,ground_truth_tech,ground_truth_qd_type,match_status,blue_peak_nm,blue_fwhm_nm,green_peak_nm,green_fwhm_nm,red_peak_nm,red_fwhm_nm,num_peaks,notes,spd_image_local
92761,Philips 974 Series OLED,Philips,philips-974-series-oled,OLED,WOLED,high,,,NO_GT,454.2,22.5,556.2,74.4,,,2,B:454nm/22nm; G:556nm/74nm; No red; panel_sub_type=WOLED,spd_images/philips-974-series-oled_spd.jpg
102906,Roku Pro Series 2025,Roku,roku-pro-series-2025,LCD,QD-LCD,high,,,NO_GT,449.4,15.9,538.2,28.8,626.3,25.3,3,B:449nm/16nm; G:538nm/29nm; R:626nm/25nm,spd_images/roku-pro-series-2025_spd.jpg
37906,Roku Select Series 2023,Roku,roku-select-series-2023,LCD,WLED,high,,,NO_GT,448.0,17.7,530.4,70.0,606.2,75.7,3,B:448nm/18nm; G:530nm/70nm; R:606nm/76nm; R:fwhm_via_hwhm_right,spd_images/roku-select-series-2023_spd.jpg
117448,Samsung 100QN80F,Samsung,samsung-100qn80f,LCD,QD-LCD,high,,,NO_GT,450.9,16.6,540.3,35.1,629.8,40.4,3,B:451nm/17nm; G:540nm/35nm; R:630nm/40nm,spd_images/samsung-100qn80f_spd.jpg
57180,Samsung DU7200,Samsung,samsung-du7200,LCD,WLED,high,,,NO_GT,448.2,17.0,530.0,73.1,606.9,79.4,3,B:448nm/17nm; G:530nm/73nm; R:607nm/79nm; R:fwhm_via_hwhm_right,spd_images/samsung-du7200_spd.jpg
55354,Samsung DU8000,Samsung,samsung-du8000,LCD,KSF,high,,,NO_GT,446.1,17.9,535.7,50.8,632.0,9.5,5,B:446nm/18nm; G:536nm/51nm; R:632nm/10nm,spd_images/samsung-du8000_spd.jpg
56341,Samsung Q60D,Samsung,samsung-q60d,LCD,Pseudo QD,medium,,,NO_GT,448.5,16.4,540.1,42.6,630.1,53.4,3,B:449nm/16nm; G:540nm/43nm; R:630nm/53nm,spd_images/samsung-q60d_spd.jpg
57710,Samsung Q70D,Samsung,samsung-q70d,LCD,Pseudo QD,medium,,,NO_GT,449.1,18.3,538.9,42.1,630.0,52.4,3,B:449nm/18nm; G:539nm/42nm; R:630nm/52nm,spd_images/samsung-q70d_spd.jpg
94324,Samsung Q7F 2025,Samsung,samsung-q7f-2025,LCD,Pseudo QD,low,,,NO_GT,447.6,16.5,537.2,43.8,627.5,59.0,3,"B:448nm/16nm; G:537nm/44nm; R:627nm/59nm; moderate green, weak red",spd_images/samsung-q7f-2025_spd.jpg
57179,Samsung Q80D,Samsung,samsung-q80d,LCD,Pseudo QD,low,,,NO_GT,451.7,15.9,537.8,44.6,630.0,60.7,3,"B:452nm/16nm; G:538nm/45nm; R:630nm/61nm; moderate green, weak red",spd_images/samsung-q80d_spd.jpg
96964,Samsung Q8F 2025,Samsung,samsung-q8f-2025,LCD,Pseudo QD,medium,,,NO_GT,449.3,16.3,539.1,40.6,628.0,52.0,3,B:449nm/16nm; G:539nm/41nm; R:628nm/52nm,spd_images/samsung-q8f-2025_spd.jpg
