snapshot_date,product_id,size_inches,best_price,price_source,color_architecture
2026-04-06,47132,32.0,869.0,bestbuy,QD-OLED
2026-04-27,47132,32.0,869.0,amazon,QD-OLED
2026-04-23,47132,32.0,869.0,amazon,QD-OLED
2026-05-04,47132,32.0,869.0,amazon,QD-OLED
2026-05-18,47132,32.0,869.0,amazon,QD-OLED
2026-05-18,88589,27.0,869.99,bestbuy,QD-LCD
2026-05-25,88589,27.0,869.99,bestbuy,QD-LCD
2026-04-13,88033,27.0,874.99,amazon_3p,QD-OLED
2026-04-06,88033,27.0,874.99,amazon_3p,QD-OLED
2026-04-13,113604,42.0,887.99,amazon_3p,WOLED
2026-04-06,113604,42.0,887.99,amazon_3p,WOLED
2026-05-04,91962,32.0,889.98,amazon_3p,QD-LCD
2026-06-01,88033,27.0,893.85,amazon_3p,QD-OLED
2026-05-25,88033,27.0,893.85,amazon_3p,QD-OLED
2026-04-23,113604,42.0,896.99,amazon_3p,WOLED
2026-04-27,113604,42.0,896.99,amazon_3p,WOLED
2026-03-30,113604,42.0,896.99,amazon_3p,WOLED
2026-05-18,100486,32.0,899.0,amazon,WOLED
2026-05-25,100486,32.0,899.0,amazon,WOLED
2026-03-23,88033,27.0,899.99,amazon_3p,QD-OLED
2026-05-18,48867,27.0,899.99,rtings,QD-LCD
2026-03-30,49884,32.0,899.99,amazon,WOLED
2026-04-27,88487,27.0,899.99,bestbuy,QD-OLED
2026-04-06,48867,27.0,899.99,rtings,QD-LCD
2026-04-06,49884,32.0,899.99,amazon,WOLED
2026-03-23,88487,27.0,899.99,bestbuy,QD-OLED
2026-05-04,88487,27.0,899.99,bestbuy,QD-OLED
2026-05-11,88032,27.0,899.99,amazon,QD-OLED
2026-03-23,56054,34.0,899.99,amazon,WOLED
2026-04-23,48867,27.0,899.99,rtings,QD-LCD
2026-04-13,49884,32.0,899.99,amazon,WOLED
2026-04-06,88487,27.0,899.99,bestbuy,QD-OLED
2026-05-04,48867,27.0,899.99,rtings,QD-LCD
2026-04-13,48867,27.0,899.99,rtings,QD-LCD
2026-04-06,52472,32.0,899.99,amazon_3p,QD-LCD
2026-04-27,88033,27.0,899.99,amazon,QD-OLED
2026-05-18,88033,27.0,899.99,amazon,QD-OLED
2026-05-18,88032,27.0,899.99,amazon,QD-OLED
2026-03-23,113604,42.0,899.99,bestbuy,WOLED
2026-04-27,52472,32.0,899.99,amazon_3p,QD-LCD
2026-06-01,48867,27.0,899.99,rtings,QD-LCD
2026-06-01,88487,27.0,899.99,bestbuy,QD-OLED
2026-06-01,88032,27.0,899.99,amazon,QD-OLED
2026-05-25,88032,27.0,899.99,amazon,QD-OLED
2026-05-11,88487,27.0,899.99,bestbuy,QD-OLED
2026-04-23,52472,32.0,899.99,amazon_3p,QD-LCD
2026-05-11,48867,27.0,899.99,rtings,QD-LCD
2026-04-23,88487,27.0,899.99,bestbuy,QD-OLED
2026-04-13,46677,32.0,899.99,bestbuy,QD-OLED
2026-03-30,88033,27.0,899.99,amazon,QD-OLED
2026-04-23,88033,27.0,899.99,amazon,QD-OLED
2026-04-27,48867,27.0,899.99,rtings,QD-LCD
2026-04-13,52472,32.0,899.99,amazon_3p,QD-LCD
2026-05-25,48867,27.0,899.99,rtings,QD-LCD
2026-04-13,33710,32.0,899.99,amazon,QD-LCD
2026-04-27,100486,32.0,909.0,amazon,WOLED
2026-05-04,100486,32.0,909.0,amazon,WOLED
2026-04-27,91962,32.0,922.98,amazon_3p,QD-LCD
2026-06-01,88031,,939.99,amazon_3p,QD-OLED
2026-04-13,42065,32.0,945.36,amazon,QD-OLED
2026-03-23,49884,32.0,949.0,amazon,WOLED
