snapshot_date,product_id,size_inches,best_price,price_source,color_architecture
2026-03-19,92241,65.0,1367.99,amazon_3p,QD-LCD
2026-03-19,92241,75.0,1699.99,rtings,QD-LCD
2026-03-19,92241,85.0,4499.99,rtings,QD-LCD
2026-03-19,92241,98.0,8574.45,amazon_3p,QD-LCD
2026-03-19,92236,55.0,899.99,rtings,QD-OLED
2026-03-19,92236,65.0,1097.97,amazon_3p,QD-OLED
2026-03-19,88596,55.0,1899.99,rtings,QD-OLED
2026-03-19,88596,65.0,2199.99,rtings,QD-OLED
2026-03-19,88596,77.0,4499.99,rtings,QD-OLED
2026-03-19,96125,55.0,747.99,rtings,QD-LCD
2026-03-19,96125,65.0,847.99,rtings,QD-LCD
2026-03-19,96125,75.0,1299.99,rtings,QD-LCD
2026-03-19,96125,85.0,1799.99,rtings,QD-LCD
2026-03-19,96125,100.0,2999.99,rtings,QD-LCD
2026-03-19,92237,55.0,1099.99,rtings,QD-OLED
2026-03-19,92237,65.0,1399.99,rtings,QD-OLED
2026-03-19,92237,77.0,1999.99,rtings,QD-OLED
2026-03-19,96104,55.0,579.99,rtings,Pseudo QD
2026-03-19,96104,65.0,746.99,rtings,Pseudo QD
2026-03-19,96104,75.0,899.99,rtings,Pseudo QD
2026-03-19,96104,85.0,1297.99,rtings,Pseudo QD
2026-03-19,96104,100.0,2199.99,rtings,Pseudo QD
2026-03-19,96722,55.0,999.99,rtings,KSF
2026-03-19,96722,65.0,1099.99,rtings,KSF
2026-03-19,96722,75.0,1499.99,rtings,KSF
2026-03-19,96722,85.0,1798.0,amazon,KSF
2026-03-19,96722,98.0,3998.0,amazon,KSF
2026-03-19,92248,55.0,2399.99,rtings,QD-OLED
2026-03-19,92248,65.0,2699.99,rtings,QD-OLED
2026-03-19,88591,65.0,3999.99,rtings,QD-LCD
2026-03-19,88591,75.0,4999.99,rtings,QD-LCD
2026-03-19,88591,85.0,5999.99,rtings,QD-LCD
2026-03-19,88591,98.0,34999.99,rtings,QD-LCD
2026-03-19,96118,55.0,429.99,rtings,Pseudo QD
2026-03-19,96118,65.0,579.99,rtings,Pseudo QD
2026-03-19,96118,75.0,649.99,rtings,Pseudo QD
2026-03-19,96118,85.0,899.99,rtings,Pseudo QD
2026-03-19,96118,100.0,1499.99,rtings,Pseudo QD
2026-03-19,92242,65.0,3299.99,rtings,QD-LCD
2026-03-19,92242,75.0,3299.99,bestbuy,QD-LCD
2026-03-19,92242,85.0,3799.99,bestbuy,QD-LCD
2026-03-19,96128,43.0,169.99,bestbuy,Pseudo QD
2026-03-19,96128,50.0,239.99,bestbuy,Pseudo QD
2026-03-19,96128,55.0,259.99,bestbuy,Pseudo QD
2026-03-19,96128,65.0,369.99,bestbuy,Pseudo QD
2026-03-19,96128,85.0,799.99,bestbuy,Pseudo QD
2026-03-19,92240,55.0,797.99,amazon,QD-LCD
2026-03-19,92240,65.0,897.99,amazon,QD-LCD
2026-03-19,92240,75.0,1397.99,amazon,QD-LCD
2026-03-19,92240,85.0,3499.99,rtings,QD-LCD
2026-03-19,92240,100.0,3997.99,bestbuy,QD-LCD
2026-03-19,88603,48.0,599.99,bestbuy,WOLED
2026-03-19,88603,55.0,899.99,bestbuy,WOLED
2026-03-19,88603,65.0,999.99,bestbuy,WOLED
2026-03-19,88603,77.0,1499.99,bestbuy,WOLED
2026-03-19,88603,,2696.99,rtings,WOLED
2026-03-19,96119,50.0,279.99,bestbuy,Pseudo QD
2026-03-19,96119,55.0,299.99,amazon,Pseudo QD
2026-03-19,96119,65.0,437.99,bestbuy,Pseudo QD
2026-03-19,96119,75.0,547.99,bestbuy,Pseudo QD
2026-03-19,96119,85.0,799.99,bestbuy,Pseudo QD
2026-03-19,96119,100.0,1399.99,bestbuy,Pseudo QD
2026-03-19,88497,65.0,1599.99,bestbuy,QD-LCD
2026-03-19,88497,75.0,1847.99,amazon_3p,QD-LCD
2026-03-19,88497,85.0,3299.99,bestbuy,QD-LCD
2026-03-19,94057,43.0,199.99,bestbuy,WLED
2026-03-19,94057,50.0,249.99,amazon,WLED
2026-03-19,94057,55.0,299.99,bestbuy,WLED
2026-03-19,94057,58.0,377.99,amazon,WLED
2026-03-19,94057,65.0,397.99,amazon,WLED
2026-03-19,94057,70.0,529.99,bestbuy,WLED
2026-03-19,94057,75.0,549.99,bestbuy,WLED
2026-03-19,94057,85.0,798.99,bestbuy,WLED
2026-03-19,88503,43.0,247.99,amazon,WLED
2026-03-19,88503,50.0,297.99,amazon,WLED
2026-03-19,88503,65.0,427.99,amazon_3p,WLED
2026-03-19,88503,75.0,547.99,amazon_3p,WLED
2026-03-19,101781,65.0,999.99,bestbuy,QD-LCD
2026-03-19,101781,75.0,1499.99,bestbuy,QD-LCD
2026-03-19,101781,85.0,2199.99,bestbuy,QD-LCD
2026-03-19,101781,98.0,2999.99,bestbuy,QD-LCD
2026-03-19,92245,43.0,399.99,amazon,WLED
2026-03-19,92245,50.0,499.99,bestbuy,WLED
2026-03-19,92245,55.0,569.99,bestbuy,WLED
2026-03-19,92245,65.0,669.99,bestbuy,WLED
2026-03-19,92245,75.0,869.99,bestbuy,WLED
2026-03-19,88502,55.0,2194.5,amazon,WOLED
2026-03-19,96489,,1399.99,rtings,QD-LCD
2026-03-19,96489,85.0,1799.99,bestbuy,QD-LCD
2026-03-19,100489,50.0,329.99,bestbuy,Pseudo QD
2026-03-19,100489,55.0,349.99,bestbuy,Pseudo QD
2026-03-19,100489,65.0,499.99,bestbuy,Pseudo QD
2026-03-19,100489,75.0,649.99,bestbuy,Pseudo QD
2026-03-19,100489,85.0,899.99,bestbuy,Pseudo QD
2026-03-19,98323,50.0,249.99,rtings,WLED
2026-03-19,98323,55.0,299.99,rtings,WLED
2026-03-19,98323,,799.99,rtings,WLED
2026-03-19,112536,65.0,1499.99,rtings,QD-LCD
2026-03-19,112536,75.0,1999.99,rtings,QD-LCD
2026-03-19,112536,85.0,2499.99,rtings,QD-LCD
2026-03-19,112536,98.0,3999.99,rtings,QD-LCD
2026-03-19,96964,32.0,399.99,rtings,Pseudo QD
2026-03-19,96964,43.0,449.99,rtings,Pseudo QD
2026-03-19,96964,50.0,499.99,rtings,Pseudo QD
