product_id,fullname,brand,url_part,review_url,test_bench_id,test_bench_version,released_at,first_published_at,last_updated_at,sizes_available,product_type,display_type,backlight_type_v2,dimming_zone_count,color_architecture,qd_present,qd_material,spd_verified,marketing_label,panel_type,panel_sub_type,backlight_type_rtings,spd_classification,spd_confidence,blue_peak_nm,blue_fwhm_nm,green_peak_nm,green_fwhm_nm,red_peak_nm,red_fwhm_nm,mixed_usage,home_theater,gaming,sports,bright_room,color_score,brightness_score,black_level_score,contrast_ratio_score,native_contrast_score,sdr_dci_p3_coverage_pct,sdr_bt2020_coverage_pct,hdr_bt2020_coverage_itp_pct,sdr_real_scene_peak_nits,sdr_peak_10pct_nits,sdr_peak_2pct_nits,hdr_peak_100pct_nits,hdr_peak_50pct_nits,hdr_peak_25pct_nits,hdr_peak_10pct_nits,hdr_peak_2pct_nits,native_contrast,contrast_ratio,first_response_time_ms,total_response_time_ms,input_lag_1080p_ms,input_lag_4k_ms,native_refresh_rate,vrr_support,hdmi_forum_vrr,hdmi_ports,hdmi_21_speed,resolution,ground_truth_tech,ground_truth_qd_type,match_status,scraped_at,spd_image,spd_image_local
49541,LG C4 OLED,LG,lg-c4-oled,https://www.rtings.com/tv/reviews/lg/c4-oled,227,v2.2,2024-03-11 00:00:00 -0400,2024-05-02 10:42:21 -0400,2026-03-16 10:44:07 -0400,"42"" (OLED42C4PUA); 48"" (OLED48C4PUA); 55"" (OLED55C4PUA); 65"" (OLED65C4PUA); 77"" (OLED77C4PUA); 83"" (OLED83C4PUA)",tv,OLED,,,WOLED,No,,Yes,OLED,OLED,WOLED,,WOLED,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,144Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/lg-c4-oled_spd.jpg
88602,LG C5 OLED,LG,lg-c5-oled,https://www.rtings.com/tv/reviews/lg/c5-oled,227,v2.2,2025-04-01 00:00:00 -0400,2025-05-13 13:06:00 -0400,2026-05-04 09:59:18 -0400,"42"" (OLED42C5PUA); 48"" (OLED48C5PUA); 55"" (OLED55C5PUA); 65"" (OLED65C5PUA); 77"" (OLED77C5PUA); 83"" (OLED83C5PUA)",tv,OLED,,,WOLED,No,,Yes,OLED,OLED,WOLED,,WOLED,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,144Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/lg-c5-oled_spd.jpg
132977,LG C6 OLED 2026,LG,lg-c6-oled-2026,https://www.rtings.com/tv/reviews/lg/c6-oled-2026,227,v2.2,2026-03-23 00:00:00 -0400,2026-04-20 15:14:42 -0400,2026-05-19 09:12:36 -0400,"42"" (OLED42C6PUA); 48"" (OLED48C6PUA); 55"" (OLED55C6PUA); 65"" (OLED65C6PUA)",tv,OLED,,,WOLED,No,,Yes,OLED,OLED,WOLED,,WOLED,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,165Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/lg-c6-oled-2026_spd.jpg
127431,LG C6H OLED,LG,lg-c6h-oled,https://www.rtings.com/tv/reviews/lg/c6h-oled,227,v2.2,2026-03-23 00:00:00 -0400,2026-04-20 15:12:37 -0400,2026-05-12 14:02:05 -0400,"77"" (OLED77C6HUP); 83"" (OLED83C6HUP)",tv,OLED,,,WOLED,No,,Yes,OLED,OLED,WOLED,,WOLED,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,165Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/lg-c6h-oled_spd.jpg
49542,LG G4 OLED,LG,lg-g4-oled,https://www.rtings.com/tv/reviews/lg/g4-oled,227,v2.2,2024-03-11 00:00:00 -0400,2024-04-25 16:16:38 -0400,2026-03-13 16:26:41 -0400,"55"" (OLED55G4SUB); 65"" (OLED65G4SUB); 77"" (OLED77G4WUA); 83"" (OLED83G4WUA); 97"" (OLED97G4WUA)",tv,OLED,,,WOLED,No,,Yes,OLED evo,OLED,WOLED,,WOLED,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,144Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/lg-g4-oled_spd.jpg
88601,LG G5 OLED,LG,lg-g5-oled,https://www.rtings.com/tv/reviews/lg/g5-oled,227,v2.2,2025-04-01 00:00:00 -0400,2025-05-07 15:22:41 -0400,2026-04-24 09:35:25 -0400,"55"" (OLED55G5WUA); 65"" (OLED65G5WUA); 77"" (OLED77G5WUA); 83"" (OLED83G5WUA); 97"" (OLED97G5WUA)",tv,OLED,,,WOLED,No,,Yes,OLED evo,OLED,WOLED,,WOLED,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,165Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/lg-g5-oled_spd.jpg
131546,LG G6 OLED,LG,lg-g6-oled,https://www.rtings.com/tv/reviews/lg/g6-oled,227,v2.2,2026-03-30 00:00:00 -0400,2026-04-24 09:30:53 -0400,2026-05-13 09:38:58 -0400,"55"" (OLED55G6WUA); 65"" (OLED65G6WUA); 77"" (OLED77G6WUA); 83"" (OLED83G6WUA); 97"" (OLED97G6WUA)",tv,OLED,,,WOLED,No,,Yes,OLED,OLED,WOLED,,WOLED,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,165Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/lg-g6-oled_spd.jpg
92233,LG QNED85A,LG,lg-qned85a,https://www.rtings.com/tv/reviews/lg/qned85a,227,v2.2,2025-05-05 00:00:00 -0400,2025-12-18 08:29:51 -0500,2026-03-13 11:03:20 -0400,"50"" (50QNED85AUA); 55"" (55QNED85AUA); 65"" (65QNED85AUA); 75"" (75QNED85AUA); 86"" (86QNED85AUA); 100"" (100QNED85AUA)",tv,LCD,,,QD-LCD,Yes,InP,Yes,QNED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,144Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/lg-qned85a_spd.jpg
55174,LG QNED90T,LG,lg-qned90t,https://www.rtings.com/tv/reviews/lg/qned90t,197,v2.0.1,2024-03-01 00:00:00 -0500,2024-08-13 14:13:21 -0400,2025-10-07 15:54:38 -0400,"65"" (65QNED90TUA); 75"" (75QNED90TUA); 86"" (86QNED90TUA)",tv,LCD,,,QD-LCD,Yes,InP,Yes,QNED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/lg-qned90t_spd.jpg
96489,LG QNED92A,LG,lg-qned92a,https://www.rtings.com/tv/reviews/lg/qned92a,227,v2.2,2025-04-14 00:00:00 -0400,2025-10-07 15:46:40 -0400,2026-03-17 10:08:56 -0400,"65"" (65QNED92AUA); 75"" (75QNED92AUA); 85"" (85QNED92AUA)",tv,LCD,,,QD-LCD,Yes,InP,Yes,QNED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,144Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/lg-qned92a_spd.jpg
