product_id,sku_id,size_inches,amazon_asin,bestbuy_sku,best_price,price_source,amazon_price,buy_box_price,list_price,bestbuy_price,bestbuy_regular,rtings_price,price_per_m2,price_date
100486,15530,32.0,B0F732KMQQ,,814.0,amazon,814.0,,814.0,,,814.0,2883.529665713846,2026-06-29
88588,15639,32.0,B0FB46P6F6,,577.99,amazon_3p,584.69,,577.99,,,,2047.4831836436683,2026-06-29
113401,15684,27.0,,,,,,,,,,,,2026-06-29
117624,15807,27.0,B0FLLNVXFG,,484.99,amazon,484.99,,484.99,,,484.99,2413.2662053237536,2026-06-29
91962,15839,32.0,B0F23LR6JQ,,999.0,amazon,999.0,,999.0,,,999.0,3538.8773170124473,2026-06-29
101013,15884,27.0,B0FVPX9LFN,11288541,488.99,amazon,488.99,,488.99,,,539.99,2433.169842143678,2026-06-29
101122,15987,27.0,B0FSDC2S6B,11960045,981.46,amazon_3p,,,981.46,,,575.99,4883.65584832069,2026-06-29
126616,16064,27.0,B0GD21577Z,,189.99,amazon,189.99,,189.99,,,189.99,945.3729898543476,2026-06-29
96305,16076,27.0,B0F146MYKD,6620191,187.99,amazon,187.99,,187.99,269.99,269.99,269.99,935.4211714443854,2026-06-29
127358,16077,,,,,,,,,,,,,2026-06-29
126131,16111,27.0,B0FLM15Q5L,,169.99,amazon,169.99,,169.99,,,169.99,845.8548057547267,2026-06-29
127454,16203,,B0G5R2QK24,,699.99,amazon,699.99,,699.99,,,699.99,,2026-06-29
114001,16291,,,,,,,,,,,,,2026-06-29
110675,16342,27.0,,6668647,1099.99,bestbuy,,,,1099.99,1099.99,1099.99,5473.450366387093,2026-06-29
127444,16421,27.0,,,,,,,,,,,,2026-06-29
133967,16469,27.0,,,,,,,,,,,,2026-06-29
133967,16470,27.0,,,1599.0,rtings,,,,,,1599.0,7956.47881876468,2026-06-29
133967,16471,27.0,,,1579.0,rtings,,,,,,1579.0,7856.96063466506,2026-06-29
133967,16472,27.0,,,2299.0,rtings,,,,,,2299.0,11439.615262251407,2026-06-29
133967,16473,27.0,,,1874.0,rtings,,,,,,1874.0,9324.853850134466,2026-06-29
133967,16474,27.0,,,1889.0,rtings,,,,,,1889.0,9399.492488209182,2026-06-29
133968,16482,27.0,,6505397,3299.99,bestbuy,,,,3299.99,3299.99,3299.99,16420.450617345377,2026-06-29
133968,16483,27.0,B0GR119YJ7,6595374,3599.99,rtings,,,,,,3599.99,17913.223378839688,2026-06-29
133968,16484,27.0,B0GR5Z7SHV,,3188.0,rtings,,,3188.0,,,3188.0,15863.19854547955,2026-06-29
133968,16485,27.0,,6505397,3299.99,bestbuy,,,,3299.99,3299.99,3299.99,16420.450617345377,2026-06-29
108042,16592,27.0,,,,,,,,,,,,2026-06-29
128692,16637,27.0,B0FNQ4B2Z2,,449.0,amazon_3p,449.99,,449.99,,,449.99,2234.1832330364864,2026-06-29
127369,16723,,,6669985,499.99,rtings,,,,,,499.99,,2026-06-29
133969,16751,27.0,,,,,,,,,,,,2026-06-29
137590,16752,24.0,,,,,,,,,,,,2026-06-29
137915,16796,,,6670439,349.99,rtings,,,,,,349.99,,2026-06-29
127417,16871,34.0,B0G31ZYMW3,,,,,,,,,,,2026-06-29
127455,16902,,B0GVPBVRPP,,1799.99,amazon,1799.99,,1799.99,,,1799.99,,2026-06-29
127348,17030,34.0,B0GL9NWNTQ,,,,,,,,,,,2026-06-29
131554,17032,27.0,B0GVPJ1DHG,,1199.99,amazon,1199.99,,1199.99,,,1199.99,5971.041286885196,2026-06-29
124349,17102,27.0,B0G31RDCMP,,699.99,amazon,699.99,,699.99,,,699.99,3483.086684394677,2026-06-29
