amazon_asin,keepa_title,keepa_brand,amazon_price,new_3p_price,buy_box_price,list_price,amazon_price_history_points,new_3p_price_history_points,list_price_history_points,new_3p_price_90d_min,new_3p_price_90d_avg,new_3p_price_90d_max,amazon_price_90d_min,amazon_price_90d_avg,amazon_price_90d_max,list_price_90d_min,list_price_90d_avg,list_price_90d_max
B0CVPSBMGY,Sony 55 Inch OLED 4K Ultra HD TV BRAVIA 8 Smart Google TV with Dolby Vision HDR and Exclusive Features for PlayStation 5 (K-55XR80),Sony,1298.0,1298.0,,1298.0,190.0,83.0,514.0,1298.0,1418.0,1598.0,1298.0,1448.6633333333332,1599.99,1298.0,1562.4685454545458,1599.99
B0D3WPVFBK,,,,,,,,,,,,,,,,,,
B0D3WN592T,,,,,,,1.0,1.0,,,,,,,,,,
B0D3X72M2M,,,,,,,1.0,1.0,,,,,,,,,,
B0CZM7LZCM,"TCL 65-Inch QM85 QLED 4K Smart QD-Mini LED TV with Google TV (65QM851G, 2024 Model) Dolby Vision IQ HDR, Dolby Atmos, Game Accelerator up to 240Hz, Voice Remote, Works with Alexa, Streaming Television",TCL,,,,,264.0,279.0,852.0,,,,,,,,,
B0CZM95SG6,"TCL 75-Inch QM85 QLED 4K Smart QD-Mini LED TV with Google TV (75QM851G, 2024 Model) Dolby Vision IQ HDR, Dolby Atmos, Game Accelerator up to 240Hz, Voice Remote, Works with Alexa, Streaming Television",TCL,,2060.98,,2060.98,639.0,664.0,1551.0,,,,,,,,,
B0CZM7RDTN,"TCL 85-Inch QM85 QLED 4K Smart QD-Mini LED TV with Google TV (85QM851G, 2024 Model) Dolby Vision IQ HDR, Dolby Atmos, Game Accelerator up to 240Hz, Voice Remote, Works with Alexa, Streaming Television",TCL,1799.99,1799.99,,1799.99,412.0,724.0,1519.0,1799.99,1868.8068421052628,1945.69,1799.99,1868.8068421052628,1945.69,1799.99,1840.0149999999999,1880.04
B0CY4X5M8D,"Hisense 55-Inch Class U6 Series Mini-LED ULED 4K UHD Google Smart TV (55U6N) - QLED, Motion Rate 240, HDR 10+, Full Array Local Dimming, Game Mode Plus, Alexa Compatibility",Hisense,,599.99,,,265.0,287.0,991.0,599.99,804.3489999999999,1247.59,,,,,,
B0D1DPL3PF,,,,,,,,,,,,,,,,,,
B0CY4WPYB4,"Hisense 75-Inch Class U6 Series Mini-LED ULED 4K UHD Google Smart TV (75U6N) - QLED, Motion Rate 240, HDR 10+, Full Array Local Dimming, Game Mode Plus, Alexa Compatibility",Hisense,,699.0,,,176.0,266.0,610.0,699.0,817.84,1055.52,1055.52,1055.52,1055.52,,,
B0CY4P8QRL,"Hisense 85-Inch Class U6 Series Mini-LED ULED 4K UHD Google Smart TV (85U6N) - QLED, Motion Rate 240, HDR 10+, Full Array Local Dimming, Game Mode Plus, Alexa Compatibility",Hisense,,,,,162.0,233.0,457.0,,,,,,,,,
B0CVNZ3C76,"Sony 43-Inch Class 4K Ultra HD BRAVIA 3 LED Smart TV with Google TV, Dolby Vision HDR, and Exclusive Features for PlayStation®5 (K-43S30)",Sony,418.0,418.0,,418.0,76.0,39.0,159.0,418.0,471.39799999999997,498.0,418.0,471.39799999999997,498.0,498.0,498.0,498.0
B0CVPL6G6S,"Sony 50-Inch Class 4K Ultra HD BRAVIA 3 LED Smart TV with Google TV, Dolby Vision HDR, and Exclusive Features for PlayStation®5 (K-50S30)",Sony,518.0,518.0,,518.0,243.0,305.0,426.0,518.0,577.8145454545454,598.0,518.0,576.441111111111,598.0,568.0,590.5,598.0
B0CVPL8YPS,"Sony 55-Inch 4K Ultra HD BRAVIA 3 LED Smart TV with Google TV, LED Flat Screen, Dolby Vision HDR, Google TV, Exclusive PS5 Features, (K-55S30)",Sony,,,,,225.0,264.0,586.0,548.0,642.3718749999999,699.99,548.0,642.3718749999999,699.99,598.0,679.592,699.99
B0CVPMF4HQ,"Sony 65-Inch Class 4K Ultra HD BRAVIA 3 LED Smart TV with Google TV Dolby Vision HDR, PS5 Exclusive Features, K-65S30",Sony,598.0,598.0,,598.0,1185.0,1246.0,1846.0,598.0,735.9975,798.0,598.0,760.5841176470589,799.99,598.0,748.4422222222222,798.0
B0CVQGPJCV,"Sony 75-Inch Class 4K Ultra HD BRAVIA 3 LED Smart TV with Google TV, Dolby Vision HDR, and Exclusive Features for PlayStation®5 (K-75S30)",Sony,798.0,798.0,,798.0,225.0,251.0,343.0,699.99,920.1353846153845,1098.0,699.99,920.1353846153845,1098.0,699.99,889.4242857142856,1098.0
B0CVPCLY6X,"Sony 85-Inch Class 4K Ultra HD BRAVIA 3 LED Smart TV with Google TV, Dolby Vision HDR, and Exclusive Features for PlayStation®5 (K-85S30)",Sony,998.0,998.0,,998.0,323.0,354.0,637.0,998.0,1297.8844444444444,1499.99,998.0,1265.6616666666666,1499.99,998.0,1173.995,1499.99
B0CY19RSV5,,,,,,,,,,,,,,,,,,
B0CXZWTZMN,,,,,,,1.0,1.0,,,,,,,,,,
B0CXZZN3VY,,,,,,,1.0,1.0,,,,,,,,,,
B0CXZPHB58,,,,,,,,,,,,,,,,,,
B0CXZNY3ZH,,,,,,,1.0,1.0,,,,,,,,,,
B0D4Y381D7,,,,,,,,,,,,,,,,,,
B0CZLXG2ZB,,,,,,,1.0,1.0,,,,,,,,,,
B0CZML9HLD,,,,,,,1.0,1.0,,,,,,,,,,
B0D4XKYVG1,,,,,,,1.0,1.0,,,,,,,,,,
B0CZLXPR65,"TCL 98-Inch QM7 QLED 4K Smart QD-Mini LED TV with Google TV (98QM751G, 2024 Model) Dolby Vision IQ, Dolby Atmos, HDR, Game Accelerator up to 240Hz, Voice Remote, Works with Alexa, Streaming Television",TCL,,,,,167.0,285.0,823.0,3387.11,3387.11,3387.11,,,,,,
B0D4XWZBG3,,,,,,,1.0,1.0,,,,,,,,,,
B0CV9GPXTZ,"Samsung 75-Inch Class Neo QLED 8K QN900D Series Mini LED, Neo Quantum HDR Smart TV w/Dolby Atmos, Object Tracking Sound Pro, AI Motion Enhancer Pro, Alexa Built-in (QN75QN900D, 2024 Model)",Samsung,,2297.99,,2297.99,217.0,254.0,619.0,2297.99,3844.532307692307,5997.99,,,,2297.99,4253.851111111111,5975.67
B0CVSGYHYM,,,,,,,1.0,1.0,,,,,,,,,,
