amazon_asin,keepa_title,keepa_brand,amazon_price,new_3p_price,buy_box_price,list_price,amazon_price_90d_min,amazon_price_90d_avg,amazon_price_90d_max,amazon_price_history_points,new_3p_price_90d_min,new_3p_price_90d_avg,new_3p_price_90d_max,new_3p_price_history_points,list_price_90d_min,list_price_90d_avg,list_price_90d_max,list_price_history_points
B0CV27X9K7,LG 34GS95QE 34-inch Ultragear OLED Curved Gaming Monitor WQHD 1440p 800R 240Hz 0.03ms AMD FreeSync Premium Pro NVIDIA G-Sync HDMI 2.1 DisplayPort Tilt/Height/Swivel Stand Black,LG,,699.99,,699.99,624.99,718.779,799.99,801.0,624.99,829.17375,1199.98,1755.0,670.0,721.67,799.99,3546.0
B0DCWMS4HC,LG 34GS95QE 34-inch Ultragear OLED Curved Gaming Monitor WQHD 1440p 800R 240Hz 0.03ms AMD FreeSync Premium Pro NVIDIA G-Sync HDMI 2.1 DisplayPort Tilt/Height/Swivel Stand White,LG,1175.15,1099.99,,1099.99,1063.53,1168.7105263157896,1204.77,329.0,949.99,1068.9242857142856,1192.99,334.0,899.99,1128.1718518518517,1204.77,915.0
B0CV26XVMD,"ASUS ROG Swift 32” 4K OLED Gaming Monitor (PG32UCDM) - UHD (3840 x 2160), QD-OLED, 240Hz, 0.03ms, G-SYNC Compatible, Custom Heatsink, Graphene Film, 99% DCI-P3, True 10-bit, 90W USB-C",ASUS,849.0,849.0,,849.0,849.0,1183.990357142857,1299.0,634.0,849.0,1060.597,1299.0,865.0,889.0,1163.3561445783132,1292.98,2136.0
B0D1RL9D39,"GIGABYTE - AORUS FO27Q3-27"" QD OLED Gaming Monitor - QHD 2560x1440-360Hz - 0.03ms GTG - AMD FreeSync Premium Pro - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black",GIGABYTE,,,,,740.94,771.61,799.99,286.0,740.94,771.61,799.99,284.0,745.27,772.63,799.99,955.0
B0CV1Y7NLT,LG ‎32GS95UE 32-inch Ultragear OLED Gaming Monitor UHD 240Hz 0.03ms DisplayHDR True Black 400 AMD FreeSync Premium Pro NVIDIA G-Sync HDMI 2.1 DisplayPort Tilt/Height/Swivel Stand Black,LG,,1378.16,,1378.16,,,,855.0,1002.75,1308.1252,1842.98,1452.0,1004.15,1199.2797959183674,1500.76,2692.0
B0D1DPFZLZ,"Samsung 27” Odyssey OLED G6 (G60SD) Series Gaming Monitor with QHD & QD-OLED, 360Hz 0.03ms, AMD FreeSync Premium Pro, Anti-Glare, Sleek Design, Cooling System, 3 Year Warranty, LS27DG602SNXZA",Samsung,599.99,599.99,,599.99,599.99,704.431052631579,789.99,657.0,599.99,707.6425824175824,789.99,1042.0,629.99,710.630197368421,759.99,2907.0
B0D1DSXW17,"Samsung 32"" Odyssey OLED G8 (G80SD) Series 4K UHD G-Sync Compatible, QD-OLED Gaming Monitor, 240Hz, 0.03ms, Glare-Free Display, Sleek Metal Design, 3 Yr Warranty, LS32DG802SNXZA",Samsung,341.4,341.4,,341.4,341.4,484.61285714285714,727.99,425.0,341.4,538.9713333333333,1299.99,590.0,341.4,578.2825,1299.99,1336.0
B0DHJ8B7TP,"Samsung 32"" Odyssey OLED G8 (G80SD) Series 4K UHD Smart Gaming Monitor w QD-OLED, 240Hz 0.03ms, G-Sync Compatible, Glare-Free Display, Sleek Metal Design, LS32DG800SNXZA, 3 Yr Warranty",Samsung,995.0,995.0,,995.0,952.88,1004.9166666666666,1136.22,194.0,779.99,978.6479999999999,1045.32,230.0,952.88,986.6850000000001,1007.12,571.0
B0CTSC3VS4,"msi MPG 321URX QD-OLED, 32"" 4K UHD Quantum Dot OLED Gaming Monitor, 3840 x 2160, 0.03ms, 240Hz, True Black HDR 400, 90W USB Type C, HDMI, DP Port",msi,759.99,759.99,,759.99,759.99,795.3593902439022,881.4,372.0,753.99,832.85625,881.4,584.0,753.99,805.4559999999999,881.4,658.0
B0DPXYZYPT,"msi MPG 321URXW QD-OLED 31.5 Inch 4K UHD Gaming Monitor - 3840 x 2160 Quantum Dot OLED Panel, 240Hz / 0.03ms, 99% DCI-P3, ΔE≤2, DisplayHDR True Black 400, KVM, RGB - DP 1.4a, HDMI 2.1, USB Type-C 98W",msi,879.99,879.99,,879.99,804.99,816.4699999999998,899.99,291.0,810.99,946.9033720930234,971.99,404.0,810.99,863.9825000000001,899.0,487.0
B0CZWM44QP,"ASUS ROG Strix 27” 1440P OLED Gaming Monitor (XG27AQDMG) - QHD, Glossy OLED, 240Hz, 0.03ms, Custom Heatsink, Anti-flicker,Uniform Brightness, G-SYNC Compatible, 99% DCI-P3, DisplayWidget, 3yr warranty",ASUS,599.0,599.0,,599.0,449.0,627.3055813953488,699.0,233.0,449.0,600.525925925926,678.0,229.0,449.0,632.8896385542168,699.0,826.0
B0CW7TM2FR,"SAMSUNG 27-Inch Odyssey G50D Series QHD Fast IPS G-Sync Compatible Gaming Monitor, 1ms, VESA DisplayHDR 400, 180Hz, AMD FreeSync, Adjustable Stand, Eye Saver Mode, LS27DG500ENXZA",Samsung,297.99,243.0,,243.0,241.15,263.6696,349.99,827.0,229.99,242.79906250000002,260.0,1221.0,229.99,245.77567307692306,270.0,3024.0
B0D7NNK43H,"ASUS ROG Swift 32” 4K OLED Gaming Monitor (PG32UCDP) - WOLED, Dual Mode (4K 240Hz, FHD 480Hz), 0.03ms, G-SYNC Compatible, Custom Heatsink, AI Gaming, 99% DCI-P3,True 10-bit, USB-C 90W, 3yr Warranty",ASUS,1104.99,1104.99,,1104.99,899.99,1122.9845833333331,1299.99,173.0,899.99,1127.108,1299.99,193.0,1029.0,1143.2681818181818,1295.99,978.0
